text,humor,pred,result,good,bad,precision,accuracy,recall,F1
how are you,FALSE,FALSE,good,119,34,0.79,0.78,0.98,0.87
it s been great is not it,FALSE,FALSE,good,,,,,,
it s been blown away by the whole thing,FALSE,FALSE,good,,,,,,
in fact i m leaving,TRUE,FALSE,bad,,,,,,
there were three themes running through the conference and i m going to talk about one is the extraordinary evidence of human creativity in all of the presentations that we have had and in all the people here,FALSE,FALSE,good,,,,,,
just the variety of it and the range of it,FALSE,FALSE,good,,,,,,
the second is that it is put us in a place where we have no idea what is going to happen in terms of the future,FALSE,FALSE,good,,,,,,
no idea how this may play out,FALSE,FALSE,good,,,,,,
i have an interest in education,FALSE,FALSE,good,,,,,,
actually what i find is everybody has an interest in education,FALSE,FALSE,good,,,,,,
i find this very interesting,FALSE,FALSE,good,,,,,,
if you do that at a dinner party and you say you work in education actually you are not often at dinner parties frankly if you work in education you are not asked and you will never ask back curiously,TRUE,FALSE,bad,,,,,,
but if you are and you say to somebody what do you do and you say you work in education you can see the blood run from their face they re like oh my god why me my one night out all week,TRUE,TRUE,good,,,,,,
but if you ask their education they pin you to the wall because it is one of those things that goes deep with people am i right religion and money,FALSE,FALSE,good,,,,,,
i have a big interest in education i think we all do,FALSE,FALSE,good,,,,,,
we have a huge vested interest in it partly because it is education that is meant to take us into this future that we cannot grasp if you think of it children starting school this year will be retiring in nobody has a clue,FALSE,FALSE,good,,,,,,
despite all the expertise that is been on parade for the past four days what the world will look like in five years time and yet we are meant to be educating them for it so the unpredictability i think is extraordinary,FALSE,FALSE,good,,,,,,
and the third part of this is that we have all agreed nonetheless on the really extraordinary capacities that children have their capacities for innovation,FALSE,FALSE,good,,,,,,
i mean serena last night was a marvel wasn t she just seeing what you could do and she is exceptional but i think she is not so to speak exceptional in the whole of childhood,FALSE,FALSE,good,,,,,,
and you have there is a person of extraordinary dedication who found a talent,FALSE,FALSE,good,,,,,,
and my contention is all kids have tremendous talents and we squander them pretty ruthlessly,FALSE,FALSE,good,,,,,,
so i want to talk about education and i want to talk about creativity my contention is that creativity now is as important in education as literacy and we should treat it with the same status,FALSE,FALSE,good,,,,,,
thank you that was it thank you very much,TRUE,FALSE,bad,,,,,,
so minutes left,TRUE,FALSE,bad,,,,,,
well i was born,TRUE,FALSE,bad,,,,,,
no the,TRUE,FALSE,bad,,,,,,
i had a great story recently,FALSE,FALSE,good,,,,,,
i love telling it,FALSE,FALSE,good,,,,,,
i have a little girl who was in a drawing lesson she was six and she was at the back drawing and the teacher said this little girl hardly ever paid attention and in this drawing lesson she did and the teacher was fascinated she went over to and she said what are you drawing and the girl said i m drawing a picture of god and the teacher said but nobody knows what god looks like and the girl said they will in a minute,TRUE,FALSE,bad,,,,,,
okay,FALSE,FALSE,good,,,,,,
when,FALSE,FALSE,good,,,,,,
when my son was four in england actually he was four everywhere to be honest i mean for being strict about it wherever he went he was four out here,TRUE,FALSE,bad,,,,,,
but he was in the nativity play,FALSE,FALSE,good,,,,,,
do you remember the story,FALSE,FALSE,good,,,,,,
no it was big,FALSE,FALSE,good,,,,,,
it was big story,FALSE,FALSE,good,,,,,,
mel gibson at the sequel you may have seen it,FALSE,FALSE,good,,,,,,
nativity too,FALSE,FALSE,good,,,,,,
james got the part of joseph which we were thrilled about we consider this to be one of the lead parts,FALSE,FALSE,good,,,,,,
we had the place crammed full of agents in t shirts,FALSE,FALSE,good,,,,,,
james robinson is joseph,FALSE,FALSE,good,,,,,,
he did not have to speak,FALSE,FALSE,good,,,,,,
but you know where the three kings come in they come in bearing gifts and they bring gold frankincense and meh,FALSE,FALSE,good,,,,,,
this really happened,FALSE,FALSE,good,,,,,,
we re sitting there,FALSE,FALSE,good,,,,,,
and they,FALSE,FALSE,good,,,,,,
i think just went out of sequence,FALSE,FALSE,good,,,,,,
because we talked to little boy afterwards and said you know you are okay with that,FALSE,FALSE,good,,,,,,
and they said yeah why was that wrong,FALSE,FALSE,good,,,,,,
they just switched,FALSE,FALSE,good,,,,,,
i think it was it,FALSE,FALSE,good,,,,,,
anyway the three boys came in little four year olds with two towns on their heads and they put these boxes down i bring you gold and the second boy said i bring you mayor and the third boy said frank sent this,TRUE,FALSE,bad,,,,,,
well these things having in common is that kids will take a chance you know if they do not know they will have a go am i right,FALSE,FALSE,good,,,,,,
they re not frightened of being wrong now i do not mean to say that being wrong is the same thing as being creative what we do know is if you are not prepared to be wrong you will never come up with anything original if you are not prepared to be wrong,FALSE,FALSE,good,,,,,,
and by the time they get to be adults most kids have lost that capacity they have become frightened of being wrong,FALSE,FALSE,good,,,,,,
and we run our companies this by the way,FALSE,FALSE,good,,,,,,
we stigmatize mistakes,FALSE,FALSE,good,,,,,,
and we are now running national education systems where mistakes are the worst thing you can make and the result is that we are educating people out of their creative capacities,FALSE,FALSE,good,,,,,,
picasso once said this he said that all children are born artists the problem is to remain an artist as we grow up,TRUE,FALSE,bad,,,,,,
i believe this passionately that we do not grow into creativity we grow out of it or rather we get educated out of it so why is this,TRUE,FALSE,bad,,,,,,
i lived in stratford on avon until about five years ago we moved from stratford to los angeles so you can imagine what a seamless transition you know this was from,TRUE,FALSE,bad,,,,,,
actually we lived in a place called sinisterfield just outside stratford which is where shakespeare s father was born,FALSE,FALSE,good,,,,,,
are you struck by a new thought i was,FALSE,FALSE,good,,,,,,
you do not think of shakespeare having a father do you do you,TRUE,FALSE,bad,,,,,,
because you do not think of shakespeare being a child shakespeare being seven i never thought of it i mean he was a seven at some point he was in somebody s english class was not he,TRUE,FALSE,bad,,,,,,
being sent to bed by his dad to shakespeare go to bed now to william shakespeare and put the pencil down and stop speaking like that it s confusing everybody,TRUE,FALSE,bad,,,,,,
anyway we moved from stratford to los angeles and i just want to say a word about the transition actually my son did not want to come,FALSE,FALSE,good,,,,,,
i ve got two kids he is now my daughter s,FALSE,FALSE,good,,,,,,
